"Contact Details","Chi tiết liên hệ"
"Be the First to Know","Là người đầu tiên nhận được thông tin mới"
"Search...","Tìm kiếm..."
"View Cart","Giỏ hàng"
"Customer Login","Khách hàng đăng nhập"
"Show Password","Hiển thị mật khẩu"
"or","hoặc"
"There are no search terms available.","Không có cụm từ tìm kiếm có sẵn nào."
"All","Tất Cả"
"None","Không cái nào"
"Allowed Scopes","Phạm vi được phép"
"More permissions are needed to delete the ""%1"" item.","Cần thêm quyền quản trị để xoá ""%1"" này đi."
"You need more permissions to apply some of the rule updates.","Bạn cần thêm quyền để áp dụng một số quy tắc Cập Nhật."
"More permissions are needed to view this item.","More permissions are needed to view this item."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again."
"This item needs to be assigned to a store view.
Please select a website for this product in ""Product in Websites"".","This item needs to be assigned to a store view.
Please select a website for this product in ""Product in Websites""."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again."
"More permissions are needed to save this item.","More permissions are needed to save this item."
"More permissions are needed to delete this item.","More permissions are needed to delete this item."
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again."
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again."
"You need more permissions to access website ""%1"".","You need more permissions to access website ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again."
"More permissions are needed to save this setting.","More permissions are needed to save this setting."
"Role Scopes","Phạm vi ghi vai trò"
"Custom","Tùy chỉnh"
"Read Details","Đọc chi tiết"
"Mark as Read","Đánh dấu đã đọc"
"Are you sure?","Bạn chắc chứ?"
"Remove","Loại bỏ"
"Messages Inbox","Hộp thư"
"You have %1 new system messages","Bạn có %1 hệ thống thư mới"
"You have %1 new system message","Bạn có %1 hệ thống thư mới"
"Incoming Message","Thư đến"
"close","đóng"
"Notifications","Các thông báo"
"The message has been marked as Read.","Thư được đánh dấu đã đọc."
"We couldn't mark the notification as Read because of an error.","Chúng tôi không thể đánh dấu đã đọc vì có lỗi xảy ra."
"Please select messages.","Vui lòng chọn thư."
"A total of %1 record(s) have been marked as Read.","Tổng cộng %1 bản ghi chép(s) đã được đánh đấu Đã đọc."
"Total of %1 record(s) have been removed.","Tất cả biên bản %1 đã được xóa."
